n0_perception n2_puzzle_help n2_puzzle_levels_lost n2_puzzle_levels_won n2_puzzle_max_level n2_puzzle_mean_time_played n2_puzzle_movs n2_puzzle_timeout n2_memory_levels_lost n2_memory_levels_won n2_memory_max_level n2_memory_mean_time_played n2_memory_time_played n2_memory_timeout n2_memory_turns_played n2_concrete_levels_won n2_concrete_mean_time_played n2_concrete_time_played n2_concrete_timeout n2_concrete_turns_played n2_abstract_levels_won n2_abstract_max_level n2_abstract_mean_time_played n2_abstract_timeout n2_abstract_turns_played 
      -5       *       4       5       8  173421     410       *      14     -38       4   33784  510208       *     121      22   23815  -31103       *      41      33       8   31184       *       1
      -5       *       1       6       3   45603     124       *      14      22      15   10190  262566       *      38      12   10693  128322       *      12      26       9   17896       1      37
      -3       7       4      21      11  212962     417       3       5      15       5    9712  194240       *      20      29    6614  211676       2      32      15      15   25285       *      17
      -3       5       3       7       5   88141     291       3      11      35       5    7701  354272       *      46      39   10967 1477331       1      49      -8      12  156214       *      25
      -1       4       9       3       1   38637     230       2       5      17       8    7856  172853       *      22      34   19823  713636       1      36      61      22  708979       *     143
      -1       3      16       9       8  212433     116       *       0       2       1   25052  326784       *      16      50    1091  379182       2      14      60      20 -151901       *     -93
      -1       3      15      69       9   62406    1672       *       6      27      12    8342  275287       *      33      17   18586  334563       3      18     176      25   14606       *     236
      -1       1       2      22      11  109592     474       *       5      18      10   26000  142535       *       9      35   23897  955913       1      40      53      25   11365       *      57
      -1       2       2       1       1   30273     192       *       1      17      11  103965  103965       *       1       6   39614  237684       2       6      77      25    8817       *      83
       1       0      22       9       9  772744     117       *       5      12       4    7416  126088       *      17      21   23036  289900       1      34      41       9   54427       *      52
       1       6       7       4       1   31053     135       *       4      15       6    8624  163870       *      19      31   17135 1369210       1      66      69       5   14853       *       1
       1       6       3       7       5   52976     188       *       1       8       8    7520   67688       *       9      15   18214  291436       0      16      91      24  354818       1     143
       1       2       6      12       1   41273     951       *       8      19       5    8100  218705       *      27      33   19676  708347       2      36      98      15   10675       *     108
       1       1       6      10       9  114791     175       *       1       8       8    8555   77003       *       9       5   30298  151491       2       5      49      14   17882       *       2
       1       7      22       8       4  366808     729       *      12      25       4   10467  387283       *      37      47   34598 1764542       3      51      12       6   30409       2      19
       3       0      15       4       2   37006     237       1       2      12       7   10296  144149       *      14      47    8332  449967       1      54      95      26   24493       *     204
       3       4       8      32       7  203113     -14       *       2       9       4   18246  121970       *      16      30   15333 1069105       0      15      34      25    7505       *      35
       3       2      16      15       9   68765     519       *       4      12       5    6815  109041       *      16      37   22679  861807       1      38      62      25   16947       *      76
       3       6       9      14       8  303458     279       *       5      25      16   11944  358347       *      30      22   24233  581602       1      24      73      15   20034       *      89
       3       2      27       1       1   45436      69       *       2       5       4    8917   62420       *       7      23   23878  573080       0      24       9       9   23556       *      10
