n0_perception n2_puzzle_help n2_puzzle_levels_lost n2_puzzle_levels_won n2_puzzle_max_level n2_puzzle_mean_time_played n2_puzzle_movs n2_puzzle_timeout n2_memory_levels_lost n2_memory_levels_won n2_memory_max_level n2_memory_mean_time_played n2_memory_time_played n2_memory_timeout n2_memory_turns_played n2_concrete_levels_won n2_concrete_mean_time_played n2_concrete_time_played n2_concrete_timeout n2_concrete_turns_played n2_abstract_levels_won n2_abstract_max_level n2_abstract_mean_time_played n2_abstract_timeout n2_abstract_turns_played 
       5       *       1       *       *   36281      12       *       2       2       1    5402   21609       *       4       *       *       *       *       *       *       *       *       *       *
       5       *       2       *       *   32162      36       *       2       4       2    7883   47302       *       6       *       *       *       *       *       3       3   12974       *       5
       5       *       3       2       1   52785       *       *       4       7       2    6310   69411       *      11       *       *       *       *       *      32      15   16337       *      36
       5       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *   17374       *       1
       5       *       *       *       *       *       *       *       1       6       3    4841   33888       *       7       *       *       *       *       *       *       *       *       *       *
       7       *       3      11       9   82300     233       1       *       *       *       *       *       *       *      11   32362  355988       *      11      48      29 1219868       *     124
       7       *       *       *       *       *       *       *       2       2       2    7245   28981       *       4      11   27286  327438       *      12       *       *       *       *       *
       7       *       9       2       1   30737       *       *       *       *       *       *       *       *       *      18   13930  278618       *      20      14      13   19945       *      20
       7       *       *       1       1   23110       *       *       *       *       *       *       *       *       *      17   10414  177040       *      17      16      12   11616       *      21
       7       *       *       1       1   45394      22       *       *       *       *       *       *       *       *       *       *       *       *       *      16       7   14015       *      20
       9       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       3       3   12812       *       5
       9       *       3       1       1   62938       *       *       *       *       *       *       *       *       *       *       *       *       *       *      18       6   21286       *      24
       9       *       6       6       5   33318     112       *       2       4       3    6628   39772       *       6      15   21461  407761       *      19      30      18 1234551       *      61
       9       *       *       1       1   47112       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *   23406       *       2
       9       *       *       2       1   24689      21       *       *       *       *       *       *       *       *       3   32575   97726       *       3       4       4   11162       *       7
      11       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *   56958       *       3
