n0_perception n2_puzzle_help n2_puzzle_levels_lost n2_puzzle_levels_won n2_puzzle_max_level n2_puzzle_mean_time_played n2_puzzle_movs n2_puzzle_timeout n2_memory_levels_lost n2_memory_levels_won n2_memory_max_level n2_memory_mean_time_played n2_memory_time_played n2_memory_timeout n2_memory_turns_played n2_concrete_levels_won n2_concrete_mean_time_played n2_concrete_time_played n2_concrete_timeout n2_concrete_turns_played n2_abstract_levels_won n2_abstract_max_level n2_abstract_mean_time_played n2_abstract_timeout n2_abstract_turns_played 
     -11       *       2      13       9   89864     197       *       4       5       2    6021   54194       *       9      31   10972 1030488       *      39      42      15   13313       *      45
     -11       *       2       1       1   55808      24       *       8      20       4   27167  144271       *      27      26   17940  383096       *      28      27      10   18368       *      33
      -9       *       4       2       1   53548     365       *       3      11       5    9015  126219       *      14      46   12901  683804       *      53      27       7   45649       *      40
      -9       *       7      11       7  403492     164       *       3       4       2    6951   48662       *       7      10   30432  334756       *      11      24      15   13300       *      26
      -9       *       1       1       1   60973      46       *       0      31       4   11308  136854       *     -54      25   -2812  323277       *      31      17       7   15560       *      21
      -9       *       3       6       6   82258      68       *      15      23      12   15130  569952       *      41      17    8133  617693       *      17       3       3   34959       *       5
      -7       *       7      11       9   78472     227       *       2      25      20   13114  354099       *      27      20   19442  388857       *      20       6       6   20151       *       8
      -7       *       2       2       1   51529     409       *       1      23      15   41191   41191       *       1      26   21573  582485       *      27      36      13   19649       *      40
      -7       *       1      -2       9  138822      73       *       3      26       9    8967 -141589       *      82      36   11521  665813       *      27      31      19   33089       *       1
      -7      23       1      13      11  614326     210       *       2      20      10   11097  244150       *      22      39   19104  859682       *      45      32       7   -5430       *      72
      -7       3       3      41       9  623593     631       *       3       4       3    6697   46883       *       7       5   15637   78188       *       5      33      14   25214       *      53
      -7       *       3       1       1   59823     110       *      12      21       5   18304  134646       *      -9       6   16401  -51536       *      24      11       6   58635       *       2
      -7       *       2       2       1   34802     -19       *       9      38       7   10702  503000       *      47      24   17248  413967       *      24      63      15   14423       *      74
      -5       *       7       6       9  558341     -15       *       0      58       8    5150  471007       *      59      16   29915  538784       *      33      26      11   31184       *       1
      -5       *       1       6       3   45603     124       *      -3      39       6   14636  355116       *      28      12   10693  128322       *      12      26       9   17896       1      37
      -5       *       0       8       3  -24610     -46       *      11      23       5    7787  264761       *      34      18    7054  148152       *      21      88      15   11221       *     100
      -5       *       5       2       1   33738     311       *      32      93       5    7984  998004       *     125      36   27047 1190092       *      44      30      15   22826       *      36
      -5       *       5      14       2  221391     253       *      17      33      15   17867  376572       *      44       0   17827  532004       *      -7      17       9   20218       *      25
      -5       *       8      12       9   69124     242       *       5       0      11   29254  -52260       *      24      22   21944  504725       *      23      27       5   71101       1       3
      -5       *       1       9       9  498371     123       *       7      11       3    6181  111272       *      18      10    8415   84158       *      10      46       7   32414       *       3
      -3       7       4      21      11  212962     417       3       5      15       5    9712  194240       *      20      29    6614  211676       2      32      15      15   25285       *      17
      -3       2       3       7       5   88141     291       3      11      35       5    7701  354272       *      46      38   13895  495679       0      37     116      14  216000       *     134
      -1       2       2       1       1   30273     374       *       1      11       8  103965  103965       *       1       6   39614  237684       2       6      77      25    8817       *      83
      -1       5       9       3       1   38637     230       2       5      17       8    7856  172853       *      22      34   19823  713636       1      36      61      22  708979       *     143
      -1       4      -7       9       8  212433     116       *       7      16       5   28395  174762       *      28      13   20971   81133       2      45      25      28  197251       *     132
      -1       3      15      69       9   62406    1672       *       6      27      12    8342  275287       *      33      17   18586  334563       2      18     176      25   14606       *     236
      -1       1       2      22      11  109592     474       *       7      17       0   31073  200858       *       9      35   23897  955913       1      40      53      25   11365       *      57
       1       6       6      12       1   41273    -308       *       8      19       5    8100  218705       *      27      33   19676  708347       1      36      98      15   10675       *     108
       1       1       6      10       9  114791     175       *       1       8       8    8555   77003       *       9       5   30298  151491       1       5      48       6   17882       *       2
       1      10       9       5      -4  111270    -209       *      12      25       4   10467  387283       *      37      47   34598 1764542       3      51      12       6   30409       2      19
       1      10      -4       9       9  772744     117       *       5      12       4    7416  126088       *      17      36    2798 1015361       0      30     -15      13   82692       *      52
       1       2       7       4       1   31053     135       *       4      15       6    8624  163870       *      19      34   16575  743286       1       4      91      21   14853       *       1
       1       5       3       7       5   52976     188       *       1       8       8    7520   67688       *       9      15   18214  291436       1      16      91      24  354818       1     143
       3       1      13       8       1  154915    -182       *       5      10       4    7451  111766       *      15      41   26062 1133522       0      44       7       6   15143       *       9
       3       2       2       9       9  112113     142       *       1       6       7    9661   67631       *       7      45   24074  416166       0      36      35      10   14017       *     -77
       3       2      16       4       3   53852      52       *       2       7       5    9582   86241       *       9      31    9610  317159       3      33      18       9   23428       1      32
       3      14      15       4       2   37006     237       1       2      12       7   10296  144149       *      14      47    8332  449967       1      54      95      26   24493       *     204
