n0_perception n2_puzzle_help n2_puzzle_levels_lost n2_puzzle_levels_won n2_puzzle_max_level n2_puzzle_mean_time_played n2_puzzle_movs n2_puzzle_timeout n2_memory_levels_lost n2_memory_levels_won n2_memory_max_level n2_memory_mean_time_played n2_memory_time_played n2_memory_timeout n2_memory_turns_played n2_concrete_levels_won n2_concrete_mean_time_played n2_concrete_time_played n2_concrete_timeout n2_concrete_turns_played n2_abstract_levels_won n2_abstract_max_level n2_abstract_mean_time_played n2_abstract_timeout n2_abstract_turns_played 
       3       3      -1      10       3   32633     584       *      10      19       8   55079  147666       *      12      32   39988  729313       1      30      34      25    7505       *      35
       3       1      16      15       9   68765     519       *       4      12       5    6815  109041       *      16      37   22679  861807       1      38      62      25   16947       *      76
       3       0       9      14       8  303458     279       *       5      25      16   11944  358347       *      30      22   24233  581602       1      24      73      15   20034       *      89
       3       0      16       1       1   45436     144       *       2       5       4    8917   62420       *       7      23   23878  573080       2      24       9       9   23556       *      10
       3      11      39      15       1   21211     510       *       9      26      11    8671  303505       *      35      51   13251  768574       1      58      65      21   30365       *       3
       3       4      13      11       5  281463     119       *       6      17       6   20513  145895       *      26      30   33661  757951       1      26      49       3  135171       *     -14
       3       4       5      12       9  133649     211       *       2       6       4    9800   78401       *       8      21   12804  294505       1      23       9       6   17362       1      13
       3       5       7      11       9  112080     223       *       4      10       4   10004  140060       *      14      20   21057  421143       0      20      27       6   14302       *      36
       5       *       3       2       2   60977      15       *       1       4       2    8315    4834       *       7      10    9608  134524       *      14       4       4   23634       *       6
       5       *       1       0       0   36281      12       *       2       2       1    5402   21609       *       4      22   23231  298018       *      16      46      -2  575209       *      32
       5       *       2       0       1   32162      36       *       2       4       2    7883   47302       *       6       7   28298  385882       *      13       3       3   12974       *       5
       5       *       3       2       1   52785     183       *       4       7       2    6310   69411       *      11      14   15355  225656       *      14      32      15   16337       *      36
       5       *       5       5       2   39846       9       *       1       4       1    7067   59872       *       1       3   20522  426146       *      11       5      10   17374       *       1
       5       *       0       1       3   34435      49       *       1       6       3    4841   33888       *       7       3   14003  267796       *      21      18      17  207722       *      19
       5       *       1       5       5   41718      65       *       4       9       3    7215   93807       *      13      11   15357  165559       *      15      21       6  578337       *      69
       5       *      10       2       1   12638      97       *       1       1       1    4884    9768       *       2      18   24342  462510       1      19       7      18  192410       *     -36
       5       *       5       5       6   37662      23       *      -1       2       1    7296   62816       *       4      18   12908   70489       *       6       7       2   30988       *       1
       5       *       5       0       3   53791     110       *       2       3       2    6161   30805       *       5       9   38735  423671       *      17       1       1   44194       1       2
       5       *       2       0       2   78385      73       1       4       6       3    7294   72940       *      10       0   15916  127513       *       8      15      15   17509       *      18
       5       *       5       0      -2   55587      30       *       3      10       1    7334   24966       *      -1       9   10428  321630       *       5       8      -3   53618       *       1
       7       *      -1       1       1   45394      22       *       3       2       2    6546   93790       *       3      16   28086  281784       *      28      16       7   14015       *      20
       7       *       3      11       9   82300     233       1       4       3       1    5711   37685       *       0      11   32362  355988       *      11      48      29 1219868       *     124
       7       *       4       5       6   57217      66       *       2       2       2    7245   28981       *       4      11   27286  327438       *      12      10      28 -281349       *      11
       7       *       9       2       1   30737     -91       *       2      -1       3    5683  109916       *       4      18   13930  278618       *      20      14      13   19945       *      20
       7       *       8       1       1   23110      64       *       2       1       2    5589   17463       *       5      17   10414  177040       *      17      16      12   11616       *      21
       9       *       4       2       1   24689      21       *       3       4       0    7341   47086       *       7       3   32575   97726       *       3       4       4   11162       *       7
       9       *       5       6       1   35477      85       *       1       4       2    6032   74333       *       3      15    7915  190028       *       2       3       3   12812       *       5
       9       *       3       1       1   62938      42       *       1       6       2    7621   40706       *       7       9   13348  324710       *      14      18       6   21286       *      24
       9       *       6       6       5   33318     112       *       2       4       3    6628   39772       *       6      15   21461  407761       *      19      30      18 1234551       *      61
       9       *      11       1       1   47112     122       *       2       0       2    6061  -14589       *      11      11   37737  397490       *      24       4       7   23406       *       2
      11       *       2      -3       4   54026      60       *       2       6       2    7835    3816       *       5      14   29592  189057       *      11       8      24   56958       *       3
